Artist,Number of Searches
Gianluca Vacchi,3090000
Dumore,645000
Jory Boy,3080000
Celia Cruz,31100000
6ix9ine,21000000
Robin Schulz,25800000
Becky G,122000000
Marvelus Fame,24800
Santana the Golden Boy,10200000
Joey Montana,15700000
Marko Silva,9280000
Lalo Ebratt,936000
Los Fabulosos Cadillacs,1780000
Jowell & Randy,6090000
Marvelus Fame,24800
Gilberto Santa Rosa,17500000
Hilton Ruiz,10800000
Jazz At Lincoln Center Orchestra,7820000
Tito Puente,11600000
Ray Barretto,4280000
Carlos Henriquez,6830000
Beny Moré,6400000
Negroni's Trio,22000
Eddie Palmieri,1670000
Sergio Mendes & Brasil '66,23900000
Bebo Valdés,722000
The Gaddabouts,7650
Arturo O'Farrill,350000
Tomás Gubbins,138000
Compay Segundo,1040000
Pete Escovedo,279000
Irakere,486000
Giovanni Hidalgo,8350000
Jazz At Lincoln Center Orchestra,7820000
Dizzy Gillespie,6210000
Mongo Santamaria,853000
Cal Tjader,639000
Ibrahim Ferrer,3930000
Clark Terry,92000000
Herbie Mann,2500000
Woody Shaw,17000000
Martirio,8940000
Chick Corea,8890000
Poncho Sanchez,3700000
Grant Green,743000000
Willie Bobo,2360000
Antônio Carlos Jobim,2990000
Dizzy Gillespie,6210000
Dave Pike,18100000
Roy Eldridge,5740000
Chucho Valdés,1790000
Buena Vista Social Club,32000000
Bobby Sanabria,550000
Elis Regina,11300000
Mongo Santamaria,853000
Paquito D'Rivera,1860000
Poncho Sanchez,3700000
Arturo Sandoval,16400000
Eddie Palmieri,1670000
Tito Rodriguez,16100000
¡Oye Frank! Sonata Latina Tribute Orchestra,101000
Stan Getz,6090000
Tito Puente,11600000
Roy Hargrove,3070000
Chucho Valdés,1790000
Alfredo Rodriguez,30500000
Willie Bobo,2360000
Gente De Zona,596000000
J Balvin,57000000
Becky G,122000000
Marc Anthony,208000000
Becky G,122000000
Bad Bunny,195000000
Deorro,3740000
Juan Magán,1360000
Cardi B,208000000
Maluma,74100000
DJ Snake,123000000
Dj Kass,6000000
Ricky Martin,113000000
Nina Sky,208000000
Daddy Yankee,73300000
Nicky Jam,54500000
Ozuna,62700000
Shakira,111000000
Enrique Iglesias,69000000
J Balvin,57500000
Don Omar,256000000
Pitbull,108000000
J Balvin,47400000
Natti Natasha,23200000
Shakira,111000000
Camila Cabello,69900000
Elvis Crespo,5710000
Zion & Lennox,188000000
Daddy Yankee,73300000
Shakira,111000000
Sofia Reyes,41500000
Enrique Iglesias,69000000
Calle 13,774000000
Jennifer Lopez,321000000
Sérgio Mendes,19000000
Juanes,9920000
Pitbull,108000000
Ricky Martin,113000000
Luis Fonsi,35200000
Los Hermanos Rosario,26800000
CNCO,17900000
Guayacán Orquesta,209000
Don Omar,256000000
Jennifer Lopez,321000000
Celia Cruz,31100000
Joe Arroyo,13700000
Pitbull,108000000
Maná,527000000
Carlos Vives,33100000
Lou Bega,1690000
Fruko Y Sus Tesos,313000
Proyecto Uno,460000000
Marc Anthony,177000000
El General,5150000000
Sonora Carruseles,287000
Carlos Vives,33100000
Oscar D'León,113000000
Los Fabulosos Cadillacs,1780000
Raymix,1320000
La Sonora Dinamita,4210000
Alejandro Sanz,34000000
Luis Miguel,537000000
Alejandro Fernandez,42800000
Carlos Baute,4790000
Maná,494000000
Sin Bandera,145000000
Juanes,9920000
Bacilos,3500000
Shakira,111000000
Enrique Iglesias,69000000
Reik,13200000
Maná,527000000
La Quinta Estacion,7290000
Luis Miguel,533000000
Maná,527000000
Draco Rosa,6540000
Bacilos,3210000
Ricky Martin,113000000
Shakira,111000000
Reik,13200000
Coti,42700000
Fonseca,98000000
Enrique Iglesias,69000000
Luis Miguel,533000000
Shakira,111000000
Ricky Martin,113000000
Jesse & Joy,305000000
Cristian Castro,24500000
Camila,216000000
Carlos Vives,33100000
Nek,72800000
Paulina Rubio,14400000
Juanes,9920000
Luis Miguel,533000000
Ricardo Arjona,12000000
Laura Pausini,15300000
Fey,43700000
David Bisbal,11200000
Alejandro Sanz,31900000
Thalía,73600000
Ricardo Arjona,12000000
Chayanne,10300000
Luis Fonsi,35200000
Jon Secada,1110000
Carlos Vives,32900000
Kabah,3860000
David Bisbal,11200000
Jesse & Joy,305000000
Thalía,73600000
Miguel Bosé,5160000
Juan Gabriel,213000000
Carlos Vives,33100000
Pablo Alborán,5450000
Magneto,41500000
Alejandra Guzman,14400000
Luis Fonsi,35200000
Paulina Rubio,14400000
The Sacados,5270000
Gloria Trevi,9990000
Flans,61200000
Ricky Martin,113000000
Karol G,102000000
Becky G,122000000
Maluma,74000000
Shakira,111000000
Miranda!,436000000
Sofia Reyes,41500000
Gloria Trevi,9990000
Cardi B,216000000
Jennifer Lopez,321000000
Major Lazer,34500000
Daddy Yankee,73300000
Thalía,73600000
Maluma,74000000
Enrique Iglesias,69000000
Jennifer Lopez,321000000
Juanes,9920000
Camila Cabello,69900000
Marc Anthony,177000000
Sean Paul,403000000
Celia Cruz,31100000
Elvis Crespo,5710000
Ricky Martin,113000000
Ricky Martin,113000000
Alaska Y Dinarama,1090000
Ricky Martin,113000000
Miranda!,436000000
Miguel Bosé,5160000
Gina Chavez,10400000
Alaska Y Dinarama,1090000
La Casa Azul,528000000
Kany Garcia,726000
RuPaul,22200000
Solomon Ray,59500000
Locomia,1210000
Lucas Lucco,4320000
Juan Gabriel,213000000
Christian Chávez,11900000
Monica Naranjo,7770000
Residente,121000000
Christina Aguilera,69600000
Lia Clark,15800000
Fangoria,2430000
Romeo Santos,42000000
Mecano,6030000
Pabllo Vittar,6010000
Monica Naranjo,7610000
( Me Llamo ) Sebastián,10700000
La Prohibida,58700000
Jaloo,304000
Alex Anwandter,291000
Raymix,1320000
Nancys Rubias,179000
Rubio,130000000
Pabllo Vittar,6010000
Anitta,40400000
Fangoria,2430000
Zemmoa,25800
Rico Dalasam,191000
Kumbia Queers,204000
La Delfi,11100000
Aretuza Lovi,197000
NR&,2070000000
Denise Rosenthal,6470000
Niña Dioz,87200
Gloria Groove,8460000
Mahmundi,282000
Arca,69900000
Miss Bolivia,77200000
Dani Umpi,277000
MANCANDY,651000000
Kat Deluna,4700000
Johnny Hooker,14800000
Namuel,check
Kumbia Queers,204000
Brazilian Girls,1520000000
Banda Uó,207000
Liniker e os Caramelows,322000
Jackie Cruz,38100000
Bomba Estéreo,3860000
Selena,235000000
Celia Cruz,31100000
Shakira,111000000
Ana Tijoux,1890000
Dayan,20100000
Mon Laferte,12600000
Natalia Lafourcade,5970000
Shakira,111000000
Cardi B,216000000
Sade,85700000
Celia Cruz,31100000
Gloria Estefan,10300000
Jenni Rivera,16600000
Lila Downs,6630000
Beyoncé,231000000
Cazzu,3630000
Kronic & Krunk,1360000
Nina Simone,49300000
Bomba Estéreo,4140000
Selena,235000000
Sheila E.,161000000
J Balvin,60000000
Calle 13,774000000
K'NAAN,1410000
DJ Raff,4980000
Mr. Paradise,184000000
Luis Enrique,188000000
Residente,121000000
María Del Pilar,96100000
Celia Cruz,31100000
Ricardo Arjona,12000000
ChocQuibTown,969000
Juan Luis Guerra 4.40,360000
Las Cafeteras,19000000
Ana Tijoux,1890000
Celia Cruz,31100000
J Balvin,57500000
Ceci Bastida,119000
Lila Downs,6630000
La Santa Cecilia,79000000
Gepe,3280000
Los Tigres Del Norte,15400000
Lin-Manuel Miranda,20400000
Manu Chao,13000000
Bomba Estéreo,3860000
Tokyo Ska Paradise Orchestra,1760000
Gloria Estefan,10300000
Vicente Fernández,51200000
Jarabe De Palo,3440000
Adriel Favela,1680000
Rubén Blades,3160000
Outernational,411000
Eljuri,476000
Los Tigres Del Norte,15400000
Los Rakas,1050000
Los Tigres Del Norte,15400000
Santana,323000000
Anthony Ramos,41500000
Outernational,411000
Chicano Batman,7630000
C-Kan,1440000000
Pitbull,117000000
Ozomatli,601000
Regulo Caro,1030000
Mario Domm,559000
Miguel,862000000
Flaco Jimenez,928000
Gaby Moreno,13200000
Aterciopelados,3810000
Victoria La Mala,42400000
Migguel Anggelo,17900
La Vida Bohème,3250000
Chicano Batman,7630000
Fonseca & Jon Batiste,98000000
Juanes,9920000
Bacilos,3210000
Dj Bitman,114000
Gaby Moreno,13200000
Calibre 50,84700000
Helado Negro,20300000
Omar Apollo,8190000
Ambar Lucid,104000
Katzù Oso,14000
The Marías,53300000
Los Wálters,1220000
Twin Seas,22100000
The Chamanas,126000
Native Sun,420000000
Alex Anwandter,291000
Elsa Y Elmar,606000
Rubio,130000000
Vanessa Zamora,10400000
Michl,4090000
Marrón,351000000
Kate Vargas,21200000
Omar Apollo,8190000
Empress Of,137000000
Inner Wave,164000000
Salt Cathedral,28300000
Roxiny,10700
Cuco,12200000
A-Wall,4030000000
Miguel,862000000
Cuco,12200000
Mula,157000000
KORDELYA,244000
Tatiana Hazel,7990000
Tatiana Hazel,7990000
Balún,179000
Making Movies,2250000000
Michl,4200000
The Marías,53300000
La Luz,924000000
Dj Bitman,114000
Kali Uchis,2730000
Very Be Careful,353000000
Jesse Baez,4040000
Ambar Lucid,104000
María Del Pilar,96100000
Jenny And The Mexicats,411000
Balún,179000
The Philharmonik,306000
Hurray For The Riff Raff,376000
El Dusty,47900000
Jenny And The Mexicats,411000
La Goony Chonga,30400
Omar Apollo,8190000
Migrant Motel,1330000
Jessica Hernandez and the Deltas,123000
Helado Negro,20300000
Gina Chavez,10400000
Superfónicos,20300
Amara La Negra,6790000
Alice Bag,159000000
Cuco,12200000
Ambar Lucid,104000
Esteman,688000
Daniela Spalla,1040000
Cuco,12200000
Chelsea Cutler,7000000
Chloe Lilac,28200000
ayokay,3390000
Khalid,400000000
Twin Shadow,111000000
King Princess,533000000
Mallrat,1980000
Joji,9030000
Social House,5760000000
Still Woozy,2730000
Ashe,38800000
Empress Of,137000000
Troye Sivan,17200000
Sasha Sloan,9970000
Tessa Violet,20400000
Your Smith,1860000000
King Princess,533000000
Ryan Beatty,11800000
Sigrid,33800000
SHAED,1250000
Jeremy Zucker,5220000
Mahalia,5010000
Chelsea Cutler,7000000
Valley Hush,9800000
Troye Sivan,17200000
Zhavia Ward,953000
Billie Eilish,82500000
IDER,9630000
Jeremy Zucker,5220000
Lauv,7500000
Sophie Simmons,19700000
Dagny,6670000
G Flip,495000000
Shallou,397000
Broods,55000000
Chelsea Cutler,7000000
LANY,35200000
Billie Eilish,82500000
Maggie Rogers,31100000
Hippo Campus,63900000
88rising,13800000
The 1975,918000000
Great Good Fine Ok,1030000000
SG Lewis,45800000
Jeremy Zucker,5220000
Hayden James,92200000
Wet,1170000000
Billie Eilish,82500000
Jai Wolf,13300000
CHVRCHES,15700000
SHY Martin,66900000
Phoebe Ryan,22900000
"Now, Now", Now
Kid Bloom,87000000
James Bay,807000000
Ed Sheeran,132000000
Ruth B.,359000000
Sam Smith,580000000
gnash,3900000
Ed Sheeran,132000000
Shawn Mendes,109000000
Justin Bieber,233000000
Tom Odell,17800000
Bastille,65300000
Sia,649000000
Bon Iver,12500000
Olivia O'Brien,19100000
Nathan Sykes,9010000
Coldplay,62600000
Halsey,check
Yiruma,4330000
Alessia Cara,20700000
Demi Lovato,80900000
Jason Mraz,15600000
James Morrison,128000000
Lukas Graham,19100000
Gabrielle Aplin,2620000
Miley Cyrus,156000000
Ed Sheeran,132000000
Sia,649000000
Avril Lavigne,47600000
Lana Del Rey,64800000
Rachel Platten,9900000
K E M A L,123000000
Rihanna,195000000
Train,2110000000
Seafret,1780000
Lana Del Rey,64800000
Travis Atreo,157000
AURORA,487000000
Red Hot Chili Peppers,142000000
Alice Boman,686000
Jacquie,14300000
Gavin James,93300000
The Neighbourhood,885000000
Twenty One Pilots,58800000
Green Day,13340000000
The Lumineers,5720000
Mayday Parade,5610000
Conrad Sewell,4960000
Paloma Faith,19100000
Avril Lavigne,47600000
Moby,56300000
The Verve,38800000
Jake Bugg,3000000
The Perishers,215000
Millennium Jazz Music,11000000
Cookin Soul,3650000
SwuM,1970000
o k h o,285000
Psymun,51100
Made in M,8810000000
Behind Clouds,184000000
Flughand,43300
Dibia$E,308000
Knowsum,69900
Blvk,1470000
Goldenninjah,21700
itssvd,22500
Bertholet,1150000
Oatmello,27000
Laffey,1700000
damaa.beats,295000
Fushou.,392000
Axian,312000
sagun,3960000
Sleepy Bear,check
Green Assassin Dollar,9000000
Waahiid,19500
Es-K,5530000000
[bsd.u],25300000
Mujo,5490000
Dontcry,47500000
aimless,12600000
Mujo,5490000
Jaeden Camstra,23000
Brenky,check
Xfruge,19800
Fushou.,392000
VIK,42400000
Nohidea,113000
SicknessMP,33600
Green Assassin Dollar,9000000
the.lazyb,204000000
MFakka,11300
WISDOM,364000000
Clap Cotton,5410000
Lungfulls,19000
beressi,60400
Otesla,105000
David Chief,584000000
Made in M,8810000000
kevatta,3580000
Cookin Soul,3650000
Dust Collectors,23200000
Monk,231000000
Single Friend,1450000000
Stlndrms,34100
Made in M,8810000000
wüsh,29200
Ol' Burger Beats,5090000
Brous One,758000
B0nds,65100
Billy the Kid,218000000
goosetaf,19200
Herring Franky,125000
Otesla,105000
xJK.,2170000
WISDOM,364000000
mndbd,16600
Nokiaa,542000000
Dabrye,147000
Iman Magnetic,1880000
Snaer.,1260000
Psalm Trees,12500000
Smuv,186000
AmPm,29300000
Crade,2730000
Lstn,2390000
Samba Twins,3550000
Icarus,28100000
Molife,204000
Gary Luton,2690000
Simon Vuarambon,40400
Crade,2730000
Toby Tech,20800000
Mefree,28800000
Gary Luton,2690000
Rooftop,147000000
Fresh Faces,325000000
Tropical Nation,86700000
Chris Malinchak,1240000
Nihoni,31600
Harvio,39300
Emma Brammer,check
Butia,2390000
Dave Pad,78000000
Jones Meadow,28500000
TCTS,718000
David Hohme,66100
Groj,239000
Fresh Faces,325000000
Tobtok,284000
Felix Cartal,743000
Illumia,329000
Chris Malinchak,430000
5 Boroughs,12400000
Junge Junge,275000000
Made To Move,2200000000
Sascha Braemer,385000
Fabian Kash,395000
Tekkla,22200
Alan Walker,214000000
Tube & Berger,5860000000
Jay FM,56300000
Javier Penna,1750000
CJ RcM,1280000
Schwarz & Funk,699000000
Isaac Elton,check
Bo Saris,1140000
Adam Stacks,8580000
Doyeq,51400
Audiofly,2400000
Jump Source,1110000000
Maya Jane Coles,2890000
Jody Wisternoff,391000
Minako,7510000
Eelke Kleijn,642000
JackLNDN,106000
Armen Miran,482000
Tale Of Us,637000000
Kiasmos,350000
Compuphonic,200000
Tchami,1580000
Alex Hook,84200000
Ten Walls,279000000
Tez Cadey,461000
Tekkla,22200
Sako Isoyan,140000
CamelPhat,2310000
Nora En Pure,27900000
5 Boroughs,12100000
Adele,174000000
Rihanna,195000000
Beyoncé,231000000
Dean Lewis,147000000
Demi Lovato,74800000
Seal,1390000000
Lauren Daigle,22000000
Katy Perry,182000000
Ed Sheeran,132000000
Halsey,115000000
Patrik Jean,8810000
Ellie Goulding,33300000
Lukas Graham,19100000
James TW,103000000
Calum Scott,11800000
G.R.L.,36900000
Conor Maynard,7340000
Sinéad O'Connor,2260000
Ed Sheeran,124000000
James Arthur,485000000
Lily Allen,91400000
Sam Smith,580000000
Demi Lovato,74800000
Daniel Merriweather,1080000
Whitney Houston,90500000
Avril Lavigne,47600000
Eric Clapton,37100000
Christina Aguilera,69600000
Justin Timberlake,98400000
Chicago,1830000000
Timbaland,8270000
Michael Schulte,16500000
Florence + The Machine,115000000
James Arthur,485000000
Bryan Adams,88800000
Sia,674000000
Julia Michaels,52200000
Rachel Platten,8830000
Elton John,86600000
Christina Aguilera,69600000
Maria McKee,11500000
CeeLo Green,5310000
The Cinematic Orchestra,8270000
Jess Glynne,10200000
OneRepublic,17300000
Christina Aguilera,69600000
Johnny Cash,156000000
Jason Derulo,check
Antony and the Johnsons,1160000
Foreigner,108000000
6LACK,9160000
Daniel Caesar,82600000
H.E.R.,7710000000
Summer Walker,313000000
Ella Mai,88100000
Jacquees,3950000
MihTy,459000
Khalid,400000000
Wale,107000000
Leven Kali,953000
Summer Walker,313000000
6LACK,9160000
Jessie Reyez,4590000
Free Nationals,117000000
Brent Faiyaz,484000
Jhene Aiko,4270000
Ella Mai,88100000
Justine Skye,10800000
DRAM,90800000
Bas,983000000
Travis Scott,214000000
TK Kravitz,3070000
Ella Mai,88100000
Masego,1690000
Amber Mark,409000000
Lil Wayne,107000000
Russ,104000000
Mahalia,4980000
The Internet,7230000000
ODIE,7140000
Radiant Children,83300000
Russ,104000000
Childish Gambino,23200000
MihTy,459000
Tory Lanez,12500000
Fabolous,8870000
Drake,309000000
6LACK,9160000
Cautious Clay,5350000
The Internet,7230000000
Masego,1690000
Daniel Caesar,82600000
Ella Mai,88100000
Childish Gambino,23200000
Meek Mill,49700000
Queen Naija,11700000
Teyana Taylor,4990000
Jacquees,3950000
Drake,309000000
Queen Naija,11700000
Masego,1690000
Forrest.,104000000
Riz La Vie,36000000
Noname,31100000
Appleby,13500000
Choker,153000000
Myles Cameron,10700000
RealLiveAnimals,72800
Souly Had,132000
Amilli,6230000
Denyah,30100
Sondai,184000
Spazzy D,201000
Lndfk,14500
Rexx Life Raj,259000
Shagabond,20800
6LACK,9160000
Cuco,12200000
Ian Ewing,7690000
ODIE,6890000
Summer Walker,313000000
Diana Gordon,55100000
April + Vista,229000000
Masego,1690000
emawk,25100
Mndsgn,372000
Still Woozy,2320000
Jay Wile,1540000
Noname,31100000
Everything Is Recorded,464000000
Yeek,461000
Tidus,3170000
Abhi//Dijon,98000
Maxwell Young,132000000
Ryan Hemsworth,53300000
Appleby,13500000
Cero Ismael,3980000
Sudan Archives,34700000
ODIE,7140000
Myke Bogan,56500
Shaqdi,55300
JULiA LEWiS,97900000
Chris McClenney,107000
Vicktor Taiwò,48500
Sean Sison,340000
Tommy Newport,15600000
Manwolves,84400
Lo'fi Boy,67000000
Rex Orange County,19400000
Jean Dawson,69800000
ROLE MODEL,1600000000
Baby Rose,1870000000
Sebastian Roca,10400000
Villette,17600000
Miles from Kinshasa,2490000
Balcony,668000000
Chris McClenney,107000
YOG$,19800000
Lèlèman,6540
kerri,32200000
Jye,5540000
Brad stank,337000
Zanski,87900
Un Blonde,342000000
Cautious Clay,5760000
Sonder,49600000
Lou Val,28100000
Tash Sultana,4440000
J'von,2920000
Myke Bogan,56500
Myke Bogan,58300
vbnd,2510000
Mulherin,777000
Elley Duhé,626000
Jon Waltz,9310000
Dave B.,376000000
Ravyn Lenae,245000
Joshua J,232000000
Joel Malka,1170000
Gyyps,51200
ODIE,7350000
Son Kuma,12400000
EYUKALIPTUS,13600
Demo Taped,1300000
Savon,57200000
Col3trane,143000
Pip Millett,2520000
Maydar,233000
Sarob,429000
THEY.,13820000000
kerri,28200000
Harrison Brome,4810000
Xavier Omär,174000
Jay Prince,120000000
Joji,9760000
Kamaliza,604000
Crayon,232000000
kerri,32200000
Amindi K. Fro$t,41600
Goldwater,6550000
Run The Jewels,55500000
Future,3930000000
Warm Brew,41300000
Queen Key,773000000
Travis Scott,201000000
Felly,5050000
SiAngie Twins,305000
Usher,84900000
T.I.,2780000000
Mick Jenkins,10300000
Lupe Fiasco,6490000
Juicy J,127000000
Tally Bands,7830000
Sheck Wes,3640000
G-Eazy,30700000
Ghostface Killah,6610000
Warm Brew,41300000
Flipp Dinero,969000
BROCKHAMPTON,2850000
Coi Leray,200000
Felly,5050000
Zoey Dollaz,356000
Dom Kennedy,33900000
Big Baby Scumbag,3120000
Ro Ransom,4140000
DDG,18400000
Apollo Brown,261000000
Kirk Knight,21300000
Russ,104000000
T-Pain,1150000000
LUKA,214000000
Ro Ransom,4330000
Childish Gambino,21100000
Leikeli47,465000
Father,1950000000
Preme,16400000
Yungeen Ace,613000
GASHI,14400000
Drako,4650000
Luke Christopher,102000000
Kweku Collins,279000
Marlon Craft,7820000
G Herbo,4500000
Travis Scott,201000000
A$AP Ferg,5860000
Young Nudy,3020000
G Herbo,4500000
Buddy,429000000
GoldLink,3660000
Kilcool,17600
Jinsang,553000
Made in M,8780000000
[bsd.u],25300000
HM Surf,15200000
Toonorth,138000
Idealism,46300000
chief.,1110000000
DRWN.,311000
Smartface,560000
Wun Two,check
Psalm Trees,13000000
Lunchmoney,3650000
Stlndrms,101000
Knowmadic,52100
Joe Corfield,344000
Smartface,540000
twuan,42400
sameO,234000
Imfinenow,62900
Leavv,60000
Smeyeul.,44700
Harris Cole,89200000
Guru Griff,745000
Banks the Genius,41600000
Snaer.,1290000
leaf beach,402000000
jinsku,11400
Made in M,8970000000
Bertholet,1150000
Leavv,60000
Nokiaa,428000000
Smeyeul.,44700
Axian,312000
Kid Tarô,296000
xJK.,2170000
Es-K,5530000000
RudeManners,111000
Shrimpnose,13700
Vhsceral,30000
Manny,73100000
Anne Suu,8110000
Dweeb,2580000
Misc.Inc,126000000
Nohidea,113000
enjo,5280000
jrd.,6590000
Chopef,14000
Arvo to me,14800000
Delayde,380000
Philanthrope,1480000
Intalekt,15000
Karavelo,21900
Estugarda,565000
twuan,42400
wuf,3570000
miska.,19300000
leaf beach,402000000
asbeluxt,14700
sad toï,23100000
Lungfulls,19000
Lapis,151000000
Brenky,25100
.Sinh,383000000
Sumwun,53000
illiterate,26500000
Bertholet,1150000
jrd.,6590000
Juan Rios,105000000
chief.,1110000000
oofoe,20000
Lostiu.,45000
Nokiaa,542000000
Smeyeul.,44700
Chris Keys,126000000
Cozy Collective,19200000
Natural Swing,343000000
Bilo 503,1740000
organic_kid,122000
frumhere,20700
HM Surf,18700000
Chill Children,190000000
Fushou.,392000
Smeyeul.,8780
bastrd,105000000
[bsd.u],25300000
Wun Two,6420000
JFilt,24200
Flynn,105000000
less.people,3660000000
memory,2800000000
goosetaf,19200
Dead Gorgeous Records,26600000
Joe Nora,37400000
7apes,20700
Afluen,58200
Howiewonder,41600
Bonnaz,105000
Tyler Showers,11800000
fragile.,163000000
Soft Eyez,852000
Kudai,5050000
Javiera Mena,1430000
Los Bunkers,5760000
Ana Tijoux,1890000
Gepe,3280000
Los Prisioneros,8820000
Los Tres,1170000000
Alex Anwandter,291000
Francisca Valenzuela,7080000
Lucybell,2070000
Mon Laferte,12600000
Inti-Illimani,1060000
Dënver,107000
Dj Bitman,114000
Cami,179000000
Makiza,117000
Los Jaivas,676000
Camila Moreno,25800000
Manuel Garcia,168000000
La Ley,644000000
Astro,347000000
Paz Court,28600000
Los Tetas,99400000
De Saloon,113000000
Gondwana,6020000
Santaferia,490000
Quilapayún,591000
Pedropiedra,267000
Ases Falsos,342000
Adrianigual,30900
Victor Jara,9070000
Chancho En Piedra,737000
Villa Cariño,10700000
31 Minutos,544000000
Nano Stern,5780000
La Combo Tortuga,2080000
Fernando Milagros,17500000
Fran Sfeir,105000
Tiro De Gracia,10700000
Consuelo Schuster,402000
DJ Raff,4980000
Fother Muckers,59300
Dj Bitman,114000
330am,check
Vesta Lugg,657000
Papanegro,225000
Garras de Amor,10800000
( Me Llamo ) Sebastián,10700000
Dulce y Agraz,331000
La Floripondio,292000
Chinoy,2050000
Violeta Parra,9720000
El Cómodo Silencio De Los Que Hablan Poco,6880000
Perrosky,86200
Planeta No,256000000
Carolina Nissen,1470000
Odisea,14800000
Prehistöricos,2950000
Los Valentina,99600000
CHC,34700000
Marineros,10600000
Mariel Mariel,34100000
Cristóbal Briceño,3350000
Tunacola,60500
Vicente Cifuentes,6010000
Protistas,479000
Alejandro Paz,51300000
Fakuta,67600
MKRNI,52100
Playa Gótica,7360000
Machito,3610000
Tito Puente,11600000
Tito Rodriguez,16100000
Pérez Prado,24100000
Joe Cuba,70400000
Celia Cruz,31100000
Tito Puente,13100000
Machito,3610000
Tito Rodriguez,16100000
Eddie Palmieri,1670000
Machito,3610000
Pérez Prado,24100000
Machito & His Afro-Cubans,3610000
Charlie Palmieri,1860000
Eddie Palmieri,1670000
Mambo,107000000
Orlando Marin,19600000
Joe Cuba,70400000
Celia Cruz,31100000
Machito,3610000
Tito Rodriguez,16100000
Cachao,509000
Ray Barretto,4280000
Tito Rodriguez,16100000
Pérez Prado,24100000
Machito Orchestra,269000
Dean Martin,345000000
Bobby Marin,11900000
Tito Rodriguez,16100000
Tito Puente,11600000
Machito,3610000
Tito Rodriguez,16100000
La Playa Sextet,check
Charlie Palmieri,1860000
Tito Rodriguez,16100000
Tito Rodriguez,16100000
Cachao,509000
Machito,3610000
Machito,3610000
Tito Puente,11600000
Machito Orchestra,269000
Bobby Marin,11900000
Pérez Prado,24100000
Pérez Prado,24100000
Machito,3610000
Tito Puente,11600000
Machito,3610000
Tito Puente & His Orchestra,11600000
Tito Puente & His Orchestra,11600000
Machito,3610000
Tito Puente & His Orchestra,11600000
Tito Puente,11600000
Tito Puente,11600000
Perry Como,116000000
Orlando Marin,19600000
The Chainsmokers,28100000
Martin Garrix,22100000
Marshmello,73600000
Zedd,23100000
Zara Larsson,21400000
Liam Payne,52400000
Dua Lipa,58400000
Sia,649000000
Maroon 5,2630000000
Ariana Grande,280000000
Post Malone,152000000
The Chainsmokers,28400000
Mike Posner,8380000
NF,444000000
Dua Lipa,58400000
DJ Khaled,36200000
Anne-Marie,check
Fifth Harmony,57300000
Zedd,23100000
Lauv,7500000
Khalid,400000000
Hailee Steinfeld,20100000
Major Lazer,35100000
J Balvin,57500000
Coldplay,58600000
AJR,12600000
G-Eazy,34300000
DJ Snake,113000000
Ed Sheeran,132000000
Camila Cabello,68500000
Major Lazer,34500000
Charlie Puth,28300000
Imagine Dragons,99800000
Starley,1960000
Maggie Lindemann,5750000
Alan Walker,214000000
Bazzi,16100000
Calvin Harris,82700000
Imagine Dragons,99800000
Ariana Grande,280000000
Kiiara,2270000
Marshmello,73600000
The Chainsmokers,28400000
Twenty One Pilots,58800000
Drake,309000000
Avicii,40400000
Justin Bieber,233000000
Jon Bellion,3110000
Drake,309000000
Jonas Blue,291000000
FRENSHIP,871000
Camila Cabello,68500000
Jason Derulo,18100000
Clean Bandit,28000000
Zara Larsson,21400000
Alessia Cara,22000000
Hailee Steinfeld,20100000
Bruno Mars,152000000
Kygo,13800000
Flo Rida,1890000000
Clean Bandit,28000000
Maroon 5,2630000000
Shawn Mendes,109000000
Bebe Rexha,22800000
Taylor Swift,341000000
Axwell /\ Ingrosso,4670000
ZAYN,75700000
Cheat Codes,107000000
DNCE,4340000
Martin Garrix,23000000
Julia Michaels,49000000
The Chainsmokers,28400000
Logic,630000000
Clean Bandit,28000000
Selena Gomez,219000000
Wale,107000000
Mac Miller,137000000
Nipsey Hussle,35600000
Logic,603000000
6LACK,9160000
REASON,3070000000
Doley Bernays,10800
King Mez,3880000
Cousin Stizz,254000
KEY,6930000000
Innanet James,249000
Noname,31100000
Masego,1690000
Blood Orange,1410000000
Russ,104000000
Action Bronson,20800000
Ryan Trey,24200000
Noname,31100000
6LACK,9160000
REASON,3070000000
Mozzy,3250000
Healy,34000000
Rexx Life Raj,259000
Leikeli47,1210000
Lithe,14900000
Student 1,3330000000
Boogie,89600000
Young Thug,86600000
YoungBoy Never Broke Again,18500000
Guido Dos Santos,15200000
So Loki,95500000
Bas,982000000
Travis Scott,201000000
Roy Woods,60300000
Jay Critch,1210000
Student 1,3330000000
Nate Traveller,1570000
RealLiveAnimals,72800
Rothstein,7620000
Anfa Rose,310000
Action Bronson,20800000
Joji,9660000
Souly Had,132000
Carnage,45400000
JAHKOY,170000
Bakar,117000000
Joshua J,232000000
Yung Bans,8750000
Sean Sison,340000
Steven Moses,24300000
Elijah Waters,10100000
Anfa Rose,310000
Caleborate,123000
Riz La Vie,36000000
Kelechi,3130000
Always Never,3660000000
Manu Crooks,514000
Rah-C,40100000
Khary,1480000
Eli Sostre,317000
Full Crate,148000000
Ebenezer,20500000
SAINt JHN,636000
KIDS SEE GHOSTS,57400000
Vancouver Sleep Clinic,6120000
Myke Bogan,56500
K. Forest,1260000000
OYABUN,348000
